team_name,player_report_name,position,status,updated,note,status_weight,source_url,fetched_at_utc
Atlanta Hawks,J. Landale,C,Out - Ankle,,"Wed, Apr 15) The Hawks said on Thursday (Apr. 16) that Landale is expected to miss at least two more weeks. BO `""> Boston",1.0,https://www.covers.com/sport/basketball/nba/injuries,2026-04-26T11:52:35.444109+00:00
Brooklyn Nets,D. Wolf,PF,Out For Season - Ankle,,"Thu, Apr 2) The Nets announced Friday that Wolf (ankle) is being shut down for the rest of the season, according to Erik Slater of ClutchPoints.com.",1.0,https://www.covers.com/sport/basketball/nba/injuries,2026-04-26T11:52:35.444109+00:00
Brooklyn Nets,M. Porter Jr.,SF,Out For Season - Hamstring,,"Thu, Apr 2)",1.0,https://www.covers.com/sport/basketball/nba/injuries,2026-04-26T11:52:35.444109+00:00
Brooklyn Nets,D. Sharpe,C,Out For Season - Thumb,,"Wed, Mar 11) The Nets said on Thursday (Mar. 12) that Sharpe will undergo season-ending thumb surgery.",1.0,https://www.covers.com/sport/basketball/nba/injuries,2026-04-26T11:52:35.444109+00:00
Brooklyn Nets,E. Demin,PG,Out For Season - Foot,,"Sun, Mar 8) The Nets reported Egor Demin will miss rest of season with plantar fasciitis. CH `""> Charlotte",1.0,https://www.covers.com/sport/basketball/nba/injuries,2026-04-26T11:52:35.444109+00:00
Charlotte Hornets,P. Hall,C,Out For Season - Ankle,,"Wed, Apr 8) The Hornets announced on Thursday (Apr. 9) that Hall underwent a procedure to address a fractured right ankle and will miss the remainder of the 2025-26 campaign. CH `""> Chicago",1.0,https://www.covers.com/sport/basketball/nba/injuries,2026-04-26T11:52:35.444109+00:00
Chicago Bulls,J. Smith,C,Out For Season - Calf,,"Wed, Mar 25) Smith will miss the remainder of the season, according to Joel Lorenzi of The Athletic.",1.0,https://www.covers.com/sport/basketball/nba/injuries,2026-04-26T11:52:35.444109+00:00
Chicago Bulls,Z. Collins,PF,Out For Season - Toe,,"Fri, Feb 20) The Bulls said on Saturday (Feb. 21) that Collins will undergo surgery for a sprain right toe and will be sidelined for the rest of the 2025-26 season.",1.0,https://www.covers.com/sport/basketball/nba/injuries,2026-04-26T11:52:35.444109+00:00
Chicago Bulls,N. Essengue,PF,Out For Season - Shoulder,,"Tue, Dec 2) The Bulls reported on Wednesday (Dec. 3) that Essengue will have shoulder surgery and miss the remainder of the season, per HC Billy Donovan. CL `""> Cleveland",1.0,https://www.covers.com/sport/basketball/nba/injuries,2026-04-26T11:52:35.444109+00:00
Dallas Mavericks,K. Irving,SG,Out For Season - Knee,,"Tue, Feb 17)",1.0,https://www.covers.com/sport/basketball/nba/injuries,2026-04-26T11:52:35.444109+00:00
Dallas Mavericks,D. Lively II,C,Out For Season - Foot,,"Sat, Dec 20) The Mavericks announced on Sunday (Dec. 21) that Lively II has successfully underwent foot surgery. DE `""> Denver",1.0,https://www.covers.com/sport/basketball/nba/injuries,2026-04-26T11:52:35.444109+00:00
Denver Nuggets,P. Watson,SF,Out - Hamstring,,"Tue, Apr 21) The Nuggets said on Wednesday (Apr. 22) that Watson is week-to-week and is unclear if his return to action is at all imminent. DE `""> Detroit",1.0,https://www.covers.com/sport/basketball/nba/injuries,2026-04-26T11:52:35.444109+00:00
Detroit Pistons,K. Huerter,SG,Day To Day - Hip,,"Fri, Apr 24) Huerter did not return to Saturday's (Apr. 25) game versus the Magic. GS `"">",0.35,https://www.covers.com/sport/basketball/nba/injuries,2026-04-26T11:52:35.444109+00:00
Golden State Warriors,Q. Post,C,Out - Foot,,"Fri, Apr 3) The Warriors announced on Saturday (Apr. 4) that Post will be re-evaluated next week.",1.0,https://www.covers.com/sport/basketball/nba/injuries,2026-04-26T11:52:35.444109+00:00
Golden State Warriors,M. Moody,SG,Out For Season - Knee,,"Sun, Mar 22)",1.0,https://www.covers.com/sport/basketball/nba/injuries,2026-04-26T11:52:35.444109+00:00
